0.0721759	0.0360879	0.00996997	-0.00087108
0.157479	0.0426515	0.00983403	-0.0023961
0.233809	0.0381649	0.00957747	-0.00442034
0.302632	0.0344115	0.00918766	-0.0070157
0.365195	0.0312817	0.00865119	-0.0102567
0.42248	0.0286427	0.00795407	-0.0142185
0.480399	0.0289594	0.0069827	-0.0195087
0.533186	0.0263936	0.00579212	-0.0257997
0.581742	0.0242779	0.00436543	-0.0331806
0.626699	0.0224785	0.00268664	-0.041734
0.668558	0.0209295	0.000739575	-0.0515421
0.707722	0.0195818	-0.0014921	-0.0626868
0.744518	0.0183981	-0.00402477	-0.0752497
0.779218	0.0173501	-0.00687485	-0.0893116
0.812049	0.0164154	-0.0100587	-0.104953
0.843202	0.0155763	-0.0135927	-0.122253
0.872839	0.0148187	-0.0174931	-0.141291
0.901101	0.0141308	-0.0217759	-0.162143
0.928107	0.0135033	-0.0264569	-0.184884
0.953964	0.0129281	-0.0315518	-0.209588
0.978761	0.0123988	-0.0370756	-0.236325
1.00258	0.0119096	-0.0430433	-0.265162
1.02549	0.0114559	-0.0494689	-0.296163
1.04756	0.0110335	-0.0563661	-0.329386
1.06884	0.010639	-0.0637477	-0.364884
1.08938	0.0102692	-0.0716255	-0.402704
1.10922	0.00992158	-0.0800105	-0.442884
1.12841	0.00959375	-0.0889121	-0.485456
1.14697	0.00928368	-0.0983389	-0.530439
1.16495	0.0089896	-0.108297	-0.577845
1.18237	0.00870993	-0.118793	-0.62767
1.19926	0.00844331	-0.129829	-0.6799
1.21564	0.00818855	-0.141407	-0.734505
1.23153	0.00794462	-0.153526	-0.791441
1.24695	0.00771062	-0.166184	-0.850649
1.26192	0.00748581	-0.179375	-0.912053
1.27646	0.00726955	-0.193094	-0.975562
1.29058	0.00706133	-0.20733	-1.04107
1.3043	0.00686072	-0.222074	-1.10844
1.31764	0.0066674	-0.237313	-1.17756
1.3306	0.00648111	-0.253032	-1.24825
1.3432	0.00630167	-0.269216	-1.32037
1.35546	0.00612894	-0.285848	-1.39373
1.36739	0.00596284	-0.302911	-1.46814
1.37899	0.00580331	-0.320386	-1.54341
1.39029	0.0056503	-0.338255	-1.61935
1.4013	0.0055038	-0.356499	-1.69574
1.41203	0.00536378	-0.375099	-1.77238
1.42249	0.00523023	-0.394039	-1.84906
1.43269	0.00510311	-0.4133	-1.92555
1.44266	0.0049824	-0.432867	-2.00166
1.4524	0.00486807	-0.452722	-2.07717
1.46192	0.00476006	-0.472852	-2.15186
1.47123	0.00465832	-0.493243	-2.22553
1.48036	0.0045628	-0.513883	-2.29797
1.48931	0.00447345	-0.53476	-2.36897
1.49809	0.0043902	-0.555865	-2.43833
1.50671	0.00431301	-0.57719	-2.50585
1.5152	0.00424184	-0.598727	-2.57133
1.52355	0.00417667	-0.620471	-2.63456
1.53178	0.00411749	-0.642418	-2.69535
1.53991	0.00406434	-0.664565	-2.75348
1.54795	0.00401725	-0.686911	-2.80877
1.5559	0.00397634	-0.709457	-2.861
1.56378	0.00394175	-0.732207	-2.90997
1.57161	0.0039137	-0.755164	-2.95545
1.5794	0.00389246	-0.778336	-2.99723
1.58715	0.00387843	-0.801734	-3.03508
1.5949	0.00387213	-0.825371	-3.06874
1.60264	0.00387424	-0.849264	-3.09796
1.61042	0.00388566	-0.873437	-3.12247
1.61823	0.00390758	-0.897918	-3.14193
1.62611	0.00394163	-0.922745	-3.15602
1.63409	0.00399002	-0.947967	-3.16434
1.64221	0.00405584	-0.973647	-3.16641
1.65049	0.00414362	-0.999871	-3.16168
1.65901	0.00426013	-1.02676	-3.14944
1.66785	0.00441624	-1.05449	-3.12875
1.67711	0.00463058	-1.08333	-3.09829
1.68699	0.00493888	-1.11373	-3.056
1.69783	0.00542193	-1.14657	-2.99821
1.71048	0.00632596	-1.18399	-2.91647
1.72618	0.007849	-1.22885	-2.79532
1.73736	0.00559102	-1.25956	-2.69722
1.74737	0.00500364	-1.28608	-2.60224
1.7574	0.00501638	-1.31169	-2.50122
1.76668	0.00464188	-1.33446	-2.40348
1.77546	0.00438543	-1.35512	-2.30814
1.78388	0.00421147	-1.37417	-2.21451
1.79205	0.00408714	-1.39189	-2.12229
1.80004	0.00399585	-1.40849	-2.03138
1.8079	0.00392842	-1.4241	-1.94174
1.81566	0.00387926	-1.43882	-1.8534
1.82335	0.00384469	-1.45274	-1.76641
1.83099	0.00382222	-1.46591	-1.68083
1.83861	0.00381006	-1.4784	-1.59673
1.84623	0.00380694	-1.49024	-1.51417
1.85385	0.00381191	-1.50148	-1.43324
1.8615	0.00382428	-1.51214	-1.35401
1.86919	0.00384354	-1.52225	-1.27653
1.87693	0.0038693	-1.53183	-1.20088
1.88473	0.00390133	-1.54091	-1.12712
1.89261	0.00393944	-1.54951	-1.0553
1.90057	0.00398356	-1.55764	-0.985467
1.90864	0.00403365	-1.56531	-0.917674
1.91682	0.00408977	-1.57255	-0.85196
1.92513	0.004152	-1.57936	-0.788359
1.93357	0.00422051	-1.58575	-0.726903
1.94216	0.00429549	-1.59174	-0.667616
1.95091	0.0043772	-1.59733	-0.610518
1.95984	0.00446596	-1.60254	-0.555623
1.96897	0.00456214	-1.60736	-0.50294
1.9783	0.00466617	-1.61182	-0.452472
1.98786	0.00477856	-1.61591	-0.404219
1.99766	0.00489989	-1.61964	-0.358174
2.00772	0.00503083	-1.62303	-0.314324
2.01806	0.00517215	-1.62606	-0.272654
2.02871	0.00532471	-1.62875	-0.233142
2.03969	0.00548953	-1.6311	-0.195761
2.05103	0.00566776	-1.63312	-0.160481
